cluster.id.items,qualtrics_id
9,R_2ZQQxc51YXd3yLG
9,R_2aahrnjCORo5fg0
5,R_2aeG3P1yQdxfNWw
6,R_2c5gtcfbbNnDcUY
1,R_2cB03QSjhnYBUIP
1,R_2ccKNNRCwLWMTPU
5,R_2ctuD8pnzkZISBI
6,R_2dWre3wfbnS9amW
13,R_2eOukOW2I1ussVl
9,R_2fI4fGU1UAPJR52
13,R_2fJ2FB6FPEuH7es
1,R_2fJ3TghtLgWb7lT
9,R_2feVPi36vsZa07E
1,R_2fq7XQ2cm20nUqI
1,R_2fqUcnWXMDMRoiM
5,R_2q7VIdvnqsYIQT3
5,R_2q7X6RFGB7xNJcq
9,R_2qC4weeLrXCIR1w
9,R_2qg7HPWGYt7dzwM
6,R_2qmzeS7P98KLQa4
9,R_2qwPhqQFXX3Jncl
6,R_2rGk0lip6x6ezhE
13,R_2rIrFKQLK6Z4MWb
1,R_2rp9FEyPpUS793P
9,R_2sU4CHt784Da7tm
5,R_2thF4QUZKNd9wXl
5,R_2tm1Fn4aviukvIl
6,R_2tn78oAxWETFehA
13,R_2ttHkY53RIVki60
5,R_2v24fG1glCOHhdu
6,R_2v64ruOiemr90lT
1,R_2vfid7ZvOKHFyfe
0,R_2w5JtqyycuNHNBl
13,R_2wKYNuquanAp2KV
6,R_2wSMuEYltZt0WeE
9,R_2wTuK5kUpF86b3H
9,R_2wpkk2n0E9YjAe1
9,R_2xP1P8CwG4ETvsy
9,R_2y3dfsq3LRNTUS9
1,R_2zSbWsUIpgj9mBA
6,R_2zZRDTAX4D9WENH
13,R_30csjktGEshpkBV
1,R_30nGo6k5lghs9z4
3,R_30vDGdWOKBBXD3K
8,R_31GZr9UAXcSQZ2C
6,R_31RH5OYIoLn7c6y
1,R_31Zv6cWJOulyeQo
9,R_31assbQkkt0xxZl
6,R_31snl7LXCWChF7I
1,R_31tHGkwefLJxNZu
9,R_32KDlRzqkm1BqnK
1,R_338xxVjAO82IMkW
6,R_33C3AYSbZYhWA99
10,R_33Cj7KrnTUcmqfz
9,R_33DCnPdZACX5GWO
12,R_33wJXQ3nx09Dbov
1,R_394Rta1BvBFahpL
9,R_3C1BDaREYJhc2SR
5,R_3D0c4fqlwbyL7Ha
5,R_3D0fa9WwvuCpeNK
9,R_3DqgIvjPcJv4Wb5
9,R_3EPV0xY1LzYh0DR
5,R_3ESSjYp572Md88M
5,R_3EtyF38a5fjKwod
9,R_3EzBOOFJyQt2UpG
9,R_3F7FIlhNRjWYyjv
10,R_3FKISw8gMgGZ1uq
9,R_3FP78iLonK8RXNK
13,R_3FPcEjG8TDrP7ot
1,R_3GcA0OlbHAuNz7D
1,R_3Gg29Ln2vjrxnhg
6,R_3GjO40XMZv1vF0L
9,R_3GkbfuR76o8ypT4
9,R_3HUe3ZRpqUBWxto
9,R_3Hoz85x7U9WS5is
9,R_3HpKLcSUiY1ubEX
5,R_3HqB0ij8RvtLZ4a
9,R_3I44ycHqWb44qpS
9,R_3JayJ4zWEYg86ZW
9,R_3JhpglXPnCcWirT
1,R_3Jqs4QKSyodxsgv
6,R_3KAzFPqXy2hkVLb
9,R_3KGFhtzhE4OlhIl
5,R_3KOMQFwEquL1mJU
1,R_3KZQkcIE9mZDqHM
9,R_3KusQm8Sdqn3Fxb
7,R_3L69LcS9j2TkLzZ
1,R_3MLFiJNf0IsvVrG
9,R_3MS7ZeTYdmdbfPs
5,R_3MbTEGD21vso05F
5,R_3Mbby8evfgmPnbR
1,R_3Mojv6RtMx6qoGO
1,R_3MrPtz2vLEfYqpa
9,R_3NQjbkypHAP6WLc
9,R_3Od0d0KbWrkWhve
1,R_3OiGSiplXNH9RN1
1,R_3PBtyI6uqItsvOX
9,R_3PZdSjYm2XlZN9A
6,R_3Pk93F0LhuJHRo6
1,R_3Pq4sOnYnv0dyOQ
5,R_3QVmWE69XzKgfLQ
1,R_3R1l4i8p8qL9RVZ
9,R_3ReVfZthNNmY0ae
0,R_3Rg3jKfpyvDPpCa
5,R_3WQAsCwefRB9Oil
9,R_3dNim0moT5xx7T0
1,R_3dYaM7N9raYzyNs
10,R_3edV9VP0PLxTggc
9,R_3eg0qHxIhwVR8QB
5,R_3ekHDifo3TePbdI
13,R_3ekIE2oTMLcDeZS
9,R_3emO63cyClKCoX1
5,R_3esiYrVsmaaVuxc
6,R_3fE4QrHm1ofNLAv
9,R_3fOGzOKlcHBUJ5F
10,R_3fVmb0k09ahEaD2
1,R_3fjm34eQXiSYRrQ
10,R_3flRo1CtANQUbts
13,R_3g1vslKBQN37rd2
1,R_3gLPjLueGvpViPV
13,R_3hbvtocq37mW2Um
1,R_3hyjelkA888TJjJ
0,R_3hztxFjxTnrCM0M
6,R_3iPz3fFY9Y6i68P
9,R_3iVvTNpKuIc5JjU
1,R_3iwNKgn6379hd52
9,R_3jetuAidlSA7Bvt
1,R_3kESJX6khUI56Bj
6,R_3lXNsKpTKga2Y0q
5,R_3mb2JVK2ALMEdr8
9,R_3mmW9R7ovnDpoko
5,R_3nC44WvwVF2Lvnr
1,R_3nJ0L4VhtUwzK8B
9,R_3nPqTUmuVlovBii
9,R_3nxwGOiFYBMedtC
9,R_3p2SuvV4NdBq6NW
9,R_3pm4M7EGBgKIVWE
5,R_3pmp0x5faQBdvg3
6,R_3qeXvrg075jCACx
1,R_3qqxoe7xGcD2oVs
5,R_3qrETFdzQkgO6RQ
1,R_3r193ovJyOzy8tZ
9,R_3rHSceJJuvdpAuC
13,R_3rINJ5T7EM1k1WX
9,R_3rYZls9NkBOIqEo
1,R_3s4YdpIruWtlYyY
9,R_3sBxAjj7EE7ducd
1,R_3spIZ5Z6r9hyFdE
1,R_3sv9z3RQ4JkjCr9
0,R_3sz6vHipETO2jmh
6,R_4MDPIxG00aSGmlz
11,R_4OfrquFaq0XNtu1
13,R_5BDzvC4wqZTsdnH
6,R_5bBHTOHTPVt6c1P
1,R_5mvW5YWBV4k9GuZ
1,R_5ptwW0LAKmabGE1
9,R_6VWE6GQIFk55PI5
13,R_6lHRcZBd0MSBtOp
1,R_6sda2t8R3tsh9e1
1,R_71jKqZRBZXVLoeB
9,R_7Onhvza67tHSY9z
1,R_8641LBNQO7lbv9v
9,R_8BLR4bkonAdqIil
13,R_8p2GWQzd6CmgqbL
6,R_8udN9Dql4sPU43D
6,R_9B3nTHnWtyyecet
13,R_9HtqFkIvDpzl4Yx
5,R_9MpspbfQlUH2kKd
9,R_9RG23tAVzp4b09H
6,R_9WGh2FxJfuOPctz
6,R_9ZuvZW1G4fCIv3b
9,R_A1cS2hHTiZ2EfIZ
9,R_ALmmttrE90nUpNL
5,R_BMorexaPUrEcVdn
1,R_D1PBa2QM6JxF4Yx
1,R_D8ZdLNoNa5bLQch
9,R_D8osjozuVSHlApX
6,R_D8pTh55nOIpvxYZ
13,R_DCrXRq7iF4enlpn
1,R_DGHcV41uJPFzwDn
6,R_DknDmOKwFzO8SjL
13,R_NY0ACeKbbQ64Krv
10,R_O10atkwfz9CcTqp
5,R_O23XUZDhwTQo5xL
13,R_OHGpqIfBheKcIOl
5,R_PIo03EW5NoiE8HT
5,R_PuPEl9PBXjvvAB3
8,R_PuqKTb3Nd3Ld2uJ
5,R_R9d8GViqvXnLIm5
1,R_RDDlX8YmGsyTJ5f
9,R_REyso7CKIJVtzQR
9,R_RPLTZPitkjWdwqZ
9,R_RVKc99SIcDjKIo1
1,R_STrYLr8lNNjOWC5
6,R_Tu9BHWKsCN9Owal
1,R_Usynpo7UgTC79wR
9,R_UyCOdj4GH3gGt7H
9,R_XmRKVc33C5sZ88p
9,R_XnpKsG163hjNYFX
5,R_XtczqBOzpJOi1jj
9,R_XuAUldu8b3Fey5z
6,R_Y60RsHzJFMeGlIl
6,R_ZaTpqKdluvWpYTD
9,R_a61ZrFFORcpttqV
9,R_bIcmhp2jL9cadLX
9,R_bNQASffqViGVm0N
9,R_bkZO7MUHX3EgsJH
9,R_bseMNnz7yZLLOMx
9,R_cBZJa3IAjeO0kJb
5,R_cDaZBiRvRDA0SuB
5,R_d6ghLbjC4ND5HLH
5,R_dgkPp9kA5Xtj8K5
9,R_e2pg1ukxvOrDUJz
6,R_e3WoGzd13vGQzD3
1,R_e3a1rSYvy19lVrH
9,R_ePrkp9vi1FgC6dP
6,R_ekPS4FY1XtS5eCt
9,R_pPKybCtlJ4A8WxX
13,R_pfIfuU7tCAT0vNn
6,R_pir75TfQmafwnIJ
9,R_qCq5qonpwq61jah
3,R_qRBz31EUTNOSuwp
4,R_qVEcKbKewwF2tyN
5,R_r3FvkX8asmgdJEB
1,R_rkgY3Avr1uqPQqZ
1,R_s82qGzigJqd9PBn
5,R_sGtjyB3SrU5OMO5
6,R_sIo4EMl549roYSd
9,R_sMuLiF2RW8Q649j
1,R_sjUOEOXgWW9zbep
5,R_soHYTffJnEALkkN
5,R_svV8vVKMbtlIkNz
6,R_ufXGyZDKLNMnG7v
13,R_vCPGmvXeZ7qIGcN
10,R_vCSaDyZE3MFRoKR
9,R_vjz7NV6zTYQvSuZ
9,R_vrdaXKbbjeknqF3
5,R_wQKKoRLMsYvjnWx
9,R_xAhlXGrkZkRRL57
9,R_xDicsRIKLCjBWXD
13,R_xhgqq1y5rWrwh5T
9,R_yF75ugXHaWQJzGh
5,R_yX7TFZcnFXTIcbn
5,R_ym9xaktrFQkUBxf
1,R_z3kuiUCd6f0VkUF
