qualtrics_id	list_languages	english_best	attention_check1	SES	political_scale	political_interest	attention_check2	schooling_level	gender	lived_cities	sexual_orientation	age	race_ethnicity	data_collection_group	political_scale_str	schooling_level_str	sex_or	language.clean	gender.clean	race.nih	ethnicity.nih
R_2fqUcnWXMDMRoiM		Yes	TRUE	552	2	6	TRUE	5	Female	Atlanta, Georgia, United States;Los Angeles, California, United States	Heterosexual	20	Italian;Colombian;Chilean;Spanish;Caucasian;Latinx	round1	Moderately Liberal	Bachelor's Degree	Straight	English	female	White	Hispanic
R_2zSbWsUIpgj9mBA		Yes	TRUE	422	3	3	TRUE	3	Female	New Jersey;Los Angeles, California, United States	Straight	20	White	round1	Slightly Liberal	Some college	Straight	English	female	White	Not Hispanic
R_2XjNzHKmkHV47AW	Chinese	No	TRUE	422	4	1	TRUE	5	Female	Los Angeles, California, United States;Tianjin, China;Troy, New York, United States;Haddon Heights, New Jersey, United States	Straight	25	Asian	round1	Neutral	Bachelor's Degree	Straight	Chinese	female	Asian	Not Hispanic
R_5mvW5YWBV4k9GuZ		Yes	TRUE	656	2	5	TRUE	3	Female	Bedford, Indiana, United States;North Las Vegas, Nevada, United States;Los Angeles, California, United States	Straight	20	Chinese;White	round1	Moderately Liberal	Some college	Straight	English	female	Multiple Races	Not Hispanic
R_30nGo6k5lghs9z4	Spanish;French	Yes	TRUE	766	2	6	TRUE	3	Female	Los Angeles, California, United States;Santa Barbara, California, United States;Goleta, California, United States;Lompoc, California, United States;Tototlan, Jalisco, Mexico	Straight	20	Hispanic	round1	Moderately Liberal	Some college	Straight	Spanish	female	NR	Hispanic
R_1QLy7eVBqzRzNIZ	French	Yes	TRUE	339	5	3	TRUE	3	Female	Boston, Massachusetts, United States;Mesa, Arizona, United States;Phoenix, Arizona, United States;North Hollywood, California, United States;Los Angeles, California, United States	Straight	21	Caucasian;Middle Eastern	round1	Slightly Conservative	Some college	Straight	French	female	White	Not Hispanic
R_25zrTCaduKThL54	Thai	Yes	TRUE	469	1	7	TRUE	5	female	Washington DC Metro Area;Los Angeles, California, United States;Bangkok, Thailand	straight	20	Thai  (Southeast Asian)	round1	Very Liberal	Bachelor's Degree	Straight	Thai	female	Asian	Not Hispanic
R_3fOGzOKlcHBUJ5F	urdu;hindi;punjabi	Yes	TRUE	771	2	5	TRUE	3	Male	Lahore, Pakistan;Arlington, Texas, United States;Las Vegas, Nevada, United States;Los Angeles, California, United States	Straight	20	South Asian	round1	Moderately Liberal	Some college	Straight	Urdu	male	Asian	Not Hispanic
R_3fjm34eQXiSYRrQ	spanish	Yes	TRUE	546	2	3	TRUE	2	Female	Los Angeles, California, United States;Arroyo Grande, California, United States	Bisexual	20	white	round1	Moderately Liberal	HS or GED	LGBTQIA+	Spanish	female	White	Not Hispanic
R_1JFUgNdDjXzAIlS	Russian;German	Yes	TRUE	513	3	5	TRUE	3	Female	Bern, Switzerland;Moscow, Russia;Vienna, Austria;Tbilisi, Georgia;Arlington, Virginia, United States;Berlin, Germany;Lugano, Switzerland;Los Angeles, California, United States	Straight	19	Caucasian	round1	Slightly Liberal	Some college	Straight	Russian	female	White	Not Hispanic
R_1f13lvLiFOnuAgl	Hindi, Punjabi	Yes	TRUE	509	3	1	TRUE	5	Male	Mysuru, Karnataka, India;Lucknow, India;Bengaluru, Karnataka, India	Straight	24	Indian	round1	Slightly Liberal	Bachelor's Degree	Straight	Hindi	male	Asian	Not Hispanic
R_8p2GWQzd6CmgqbL	Hindi;Marathi	No	TRUE	566	5	5	FALSE	5	Male	pune;mumbai;los angeles	na	25	na	round1	Slightly Conservative	Bachelor's Degree	NA	Hindi	male	NA	NA
R_1jk5O8PQyyRE8Ti		Yes	TRUE	398	6	4	TRUE	3	Female	La Verne, California, United States;Chino Hills, California, United States;Los Angeles, California, United States	Heterosexual	20	African-American;Caucasian	round1	Moderately Conservative	Some college	Straight	English	female	Multiple Races	Not Hispanic
R_6sda2t8R3tsh9e1		Yes	TRUE	320	3	2	TRUE	4	female	San Diego;Boston;Los Angeles	Straight	21	Korean	round1	Slightly Liberal	Associate Degree	Straight	English	female	Asian	Not Hispanic
R_3PBtyI6uqItsvOX	Marathi;Hindi	Yes	TRUE	690	1	1	TRUE	5	Male	Pune, India;Aurangabad, Maharashtra, India	Bisexual	22	Indian	round1	Very Liberal	Bachelor's Degree	LGBTQIA+	Marathi	male	Asian	Not Hispanic
R_30csjktGEshpkBV	Hindi	No	TRUE	540	4	4	TRUE	5	Female	Los Angles;India	Straight	22	Asian	round1	Neutral	Bachelor's Degree	Straight	Hindi	female	Asian	Not Hispanic
R_1f3jQQqQgIlYAJj	Mandarin Chinese	Yes	TRUE	260	2	2	TRUE	3	Female	San Francisco Bay Area, United States;Los Angeles, California, United States	Heterosexual	20	Asian	round1	Moderately Liberal	Some college	Straight	Mandarin	female	Asian	Not Hispanic
R_240BwySE8YGO6gi	Telugu;Hindi	Yes	TRUE	409	2	3	TRUE	5	Female	Hyderabad, India;Los Angeles, California, United States	Straight	22	Asian;Indian	round1	Moderately Liberal	Bachelor's Degree	Straight	Telugu	female	Asian	Not Hispanic
R_3qeXvrg075jCACx	Kannada;Telugu;Hindi	Yes	TRUE	478	3	1	TRUE	5	Male	Mangaluru, Karnataka, India;Bengaluru, Karnataka, India;davangere, karnataka, India;Los Angeles, California, United States	Straight	24	Indian	round1	Slightly Liberal	Bachelor's Degree	Straight	Kannada	male	Asian	Not Hispanic
R_3eg0qHxIhwVR8QB		Yes	TRUE	386	2	6	TRUE	3	f	Chicago, Illinois, United States;Paris, France;Los Angeles, California, United States	straight	20	White	round1	Moderately Liberal	Some college	Straight	English	female	White	Not Hispanic
R_394Rta1BvBFahpL	Spanish	Yes	TRUE	689	1	5	TRUE	3	Female	Sylmar, California, United States;Los Angeles, California, United States	Straight	18	Latina/ Hispanic	round1	Very Liberal	Some college	Straight	Spanish	female	NR	Hispanic
R_33DCnPdZACX5GWO	English;Spanish	Yes	TRUE	510	3	4	FALSE	4	Female	South Pasadena, California, United States;Los Angeles, California, United States;West Hollywood, California, United States	Straight	21	Hispanic;Latina;Peruvian;Italian	round1	Slightly Liberal	Associate Degree	Straight	Spanish	female	White	Hispanic
R_1i4lEWREe8n47KD	Spanish	Yes	TRUE	260	3	3	TRUE	5	female `	Beverly Hills, California, United States	Heterosexual	21	Hispanic	round1	Slightly Liberal	Bachelor's Degree	Straight	Spanish	female	NR	Hispanic
R_D8osjozuVSHlApX	Spanish;Cantonese	Yes	TRUE	835	3	5	TRUE	2	Male	Sacramento, California, United States;Los Angeles, California, United States	Heterosexual	18	Chinese-American	round1	Slightly Liberal	HS or GED	Straight	Spanish	male	Asian	Not Hispanic
R_1qfyC67q9Dm6mdw	Mandarin Chinese	Yes	TRUE	252	4	2	TRUE	2	Male	San Diego, California, United States;Shanghai, China;Los Angeles, California, United States	Bisexual	20	Asian	round1	Neutral	HS or GED	LGBTQIA+	Mandarin	male	Asian	Not Hispanic
R_3Pq4sOnYnv0dyOQ	French;Spanish	Yes	TRUE	465	3	5	TRUE	3	Female	Chandler, Arizona, United States;Los Angeles, California, United States;Phoenix, Arizona, United States;Gilbert, Arizona, United States	Straight	19	Hispanic;Puerto Rican;White;Irish;German;English	round1	Slightly Liberal	Some college	Straight	French	female	White	Hispanic
R_3Rg3jKfpyvDPpCa	Hindi;Tamil;Marathi	Yes	TRUE	514	2	2	TRUE	6	Male	Los Angeles, California, United States;Mumbai, India	Straight	25	Asian	round1	Moderately Liberal	Master's Degree	Straight	Hindi	male	Asian	Not Hispanic
R_0IJZKTzkc4l0c1z	Hindi;Marwari	Yes	TRUE	332	3	2	TRUE	5	Male	Jaipur, India;Chennai, India;Chennai, Tamil Nadu, India;Delhi, India;Mumbai, India;Melbourne, Australia;Cape Town, South Africa;Los Angeles, California, United States	Straight	23	Indian	round1	Slightly Liberal	Bachelor's Degree	Straight	Hindi	male	Asian	Not Hispanic
R_3qrETFdzQkgO6RQ	Hindi, Marathi	Yes	TRUE	771	4	2	TRUE	5	Female	Mumbai;LA	Straight	22	Asian-Indian	round1	Neutral	Bachelor's Degree	Straight	Hindi	female	Asian	Not Hispanic
R_262QpQOd7gom9lm	Hindi	No	TRUE	665	2	2	TRUE	5	Female	New Delhi, Delhi, India;Bengaluru, Karnataka, India;Los Angeles, California, United States	Straight	24	Asian	round1	Moderately Liberal	Bachelor's Degree	Straight	Hindi	female	Asian	Not Hispanic
R_31RH5OYIoLn7c6y	Telugu;Hindi;Tamil	No	TRUE	458	4	5	FALSE	5	Male	Hyderabad, Telangana, India;Los Angeles, California, United States;Coimbatore, Tamil Nadu, India	Heterosexual	23	Asian	round1	Neutral	Bachelor's Degree	Straight	Telugu	male	Asian	Not Hispanic
R_3KAzFPqXy2hkVLb	Hindi;Kannada	Yes	TRUE	501	3	5	TRUE	5	Male	Mumbai;Chennai, India;New York, New York, United States;Los Angeles, California, United States	Heterosexual	23	Indian	round1	Slightly Liberal	Bachelor's Degree	Straight	Hindi	male	Asian	Not Hispanic
R_1HnlapH83U0K7M1	Marathi;Hindi	No	TRUE	681	4	3	TRUE	5	Male	Los Angeles, California, United States;Indore, Madhya Pradesh, India;Bengaluru, Karnataka, India;New Delhi, Delhi, India;Mumbai, India	Heterosexual	24	Indian	round1	Neutral	Bachelor's Degree	Straight	Marathi	male	Asian	Not Hispanic
R_3KusQm8Sdqn3Fxb	Mandarin Chinese;German	Yes	TRUE	417	5	6	TRUE	3	Male	Los Angeles, California, United States	Male	20	Han Chinese	round1	Slightly Conservative	Some college	NR	Mandarin	male	Asian	Not Hispanic
R_0B3sd6PDs4u4JNf	Persian (Farsi)	No	TRUE	425	3	3	TRUE	6	Male	Tehran, Iran;Mashhad, Iran;Los Angeles, California, United States	Straight	26	Middle Eastern	round1	Slightly Liberal	Master's Degree	Straight	Farsi	male	White	Not Hispanic
R_30vDGdWOKBBXD3K		Yes	TRUE	505	5	6	TRUE	6	Male	Los Angeles;Redding California;Honolulu , Hawaii	straight	51	White	round1	Slightly Conservative	Master's Degree	Straight	English	male	White	Not Hispanic
R_3nC44WvwVF2Lvnr	Mandarin Chinese	Yes	TRUE	564	2	1	TRUE	2	Female	Taipei, Taiwan;Cerritos, California, United States	Heterosexual	21	Taiwanese	round1	Moderately Liberal	HS or GED	Straight	Mandarin	female	Asian	Not Hispanic
R_3QVmWE69XzKgfLQ		Yes	TRUE	251	4	1	TRUE	3	Female	San Diego, California;Los Angeles, California	Straight	19	White;hispanic	round1	Neutral	Some college	NA	NA	NA	NA	NA
R_1rjFT075WYs6ATf		Yes	TRUE	258	3	3	TRUE	2	Male	San Jose, California, United States;Los Angeles, California, United States	Heterosexual;Cishet	19	Vietnamese	round1	Slightly Liberal	HS or GED	NA	NA	NA	NA	NA
R_D1PBa2QM6JxF4Yx	French	Yes	TRUE	418	5	2	TRUE	3	Female	Anaheim Hills, California	Straight	21	Japanese American	round1	Slightly Conservative	Some college	NA	NA	NA	NA	NA
R_Usynpo7UgTC79wR		Yes	TRUE	661	3	3	TRUE	3	female	Los Angeles, California, United States;Torrance, California, United States;Honolulu, Hawaii, United States	Straight	20	Hawaiian;Japanese;Chinese;Portuguese;Irish	round1	Slightly Liberal	Some college	NA	NA	NA	NA	NA
R_3EPV0xY1LzYh0DR	Spanish	Yes	TRUE	690	2	7	TRUE	5	Male	Freehold, New Jersey;New York City, New York;Los Angeles, California	Heterosexual	21	white	round1	Moderately Liberal	Bachelor's Degree	NA	NA	NA	NA	NA
R_1IgAFJHGgJm4eMd	Spanish	Yes	TRUE	631	3	6	TRUE	3	Male	La Puente, California, United States;Los Angeles, California, United States	Bisexual	19	Latino/a American	round1	Slightly Liberal	Some college	NA	NA	NA	NA	NA
R_1GIxWmLE7eIwisV	Mandarin Chinese;French	Yes	TRUE	740	1	4	TRUE	3	Male	Denver, Colorado, United States;Los Angeles, California, United States	Bisexual	19	Latino/a American	round1	Very Liberal	Some college	NA	NA	NA	NA	NA
R_3ESSjYp572Md88M	Hungarian, German	No	TRUE	603	4	1	TRUE	5	Female	Los Angeles;Budapest;Dunavarsany, Pest County, Hungary	Straight	24	white	round1	Neutral	Bachelor's Degree	NA	NA	NA	NA	NA
R_1ezYlDdgrpg8x0d	Spanish	Yes	TRUE	720	5	1	TRUE	3	Male	Queens, New York, United States;Stamford, Connecticut, United States	Heterosexual	21	Latino/a American	round1	Slightly Conservative	Some college	NA	NA	NA	NA	NA
R_25MVSmG8enQY8wp	Spanish;Portuguese, French	No	TRUE	339	2	5	TRUE	3	Female	Santiago, Chile;Bogotá, Colombia;São Paulo, Brazil;Atlanta, Georgia, United States;Birmingham, Michigan, United States;Los Angeles, California, United States	Straight	18	Latin	round1	Moderately Liberal	Some college	NA	NA	NA	NA	NA
R_2cB03QSjhnYBUIP	Spanish;Hindi.	Yes	TRUE	320	2	7	TRUE	3	Female	Richland, Washington, United States;Los Angeles, California, United States	Heterosexual	19	Indian	round1	Moderately Liberal	Some college	Straight	Spanish	female	Asian	Not Hispanic
R_3mb2JVK2ALMEdr8		Yes	TRUE	510	5	5	TRUE	4	male	Los Angeles, California, United States	straight	22	White	round1	Slightly Conservative	Associate Degree	NA	NA	NA	NA	NA
R_33wJXQ3nx09Dbov	Spanish;Arabic (Lebanese)	Yes	TRUE	343	5	6	TRUE	2	Male	Los Angeles, California, United States;Las Vegas, Nevada, United States	male	19	White-Amerindian;Middle Eastern;Lebanese	round1	Slightly Conservative	HS or GED	NA	NA	NA	NA	NA
R_25Wrj1qjDhyak4Z		Yes	TRUE	299	5	1	TRUE	3	Female	Dallas, Texas, United States;Florence, Tuscany, Italy;Los Angeles, California, United States	Straight	21	White	round1	Slightly Conservative	Some college	NA	NA	NA	NA	NA
R_3kESJX6khUI56Bj		Yes	TRUE	653	2	5	TRUE	3	Female	Anna Maria Island, Florida;Bradenton, Florida;New York City;Asheville, North Carolina;Los Angeles, California, United States	Bi-curious, primarily straight	19	Caucasian;African American (Nigerian)	round1	Moderately Liberal	Some college	Straight	English	female	Multiple Races	Not Hispanic
R_D8pTh55nOIpvxYZ	Urdu;French	Yes	TRUE	508	4	1	TRUE	2	Male	Karachi, Pakistan	Heterosexual	18	Muslim	round1	Neutral	HS or GED	NA	NA	NA	NA	NA
R_1exatLyQj5Hynau		Yes	TRUE	343	3	2	TRUE	3	Female	Boston, Massachusetts, United States;Los Angeles, California, United States	Straight	19	White	round1	Slightly Liberal	Some college	NA	NA	NA	NA	NA
R_2fq7XQ2cm20nUqI	Spanish	Yes	TRUE	244	3	6	TRUE	3	Female	Boca Raton, Florida;Los Angeles, California, United States	straight	19	Hispanic	round1	Slightly Liberal	Some college	NA	NA	NA	NA	NA
R_PuPEl9PBXjvvAB3	Hindi;Spanish	Yes	TRUE	425	4	5	TRUE	5	Male	Phoenix, Arizona, United States;San Diego, California, United States;Beijing, China	Straight	19	Asian	round1	Neutral	Bachelor's Degree	NA	NA	NA	NA	NA
R_11hduNyaVbu5hvn	Korean	Yes	TRUE	514	5	1	TRUE	3	Female	Los Angeles, California, United States;Indianapolis, Indiana, United States	Straight	19	Korean	round1	Slightly Conservative	Some college	NA	NA	NA	NA	NA
R_1GHLe6dlLyeSwU3	Spanish;German	Yes	TRUE	514	3	5	TRUE	3	Male	San Francisco, California, United States;Tulsa, Oklahoma, United States	Straight	21	White;Latino	round1	Slightly Liberal	Some college	NA	NA	NA	NA	NA
R_1iaKqViB4WTZwlD		Yes	TRUE	513	4	2	TRUE	3	female	los angeles, california	straight	20	caucasian	round1	Neutral	Some college	NA	NA	NA	NA	NA
R_3r193ovJyOzy8tZ		Yes	TRUE	288	5	5	TRUE	3	Female	San Jose, California, United States;Los Angeles, California, United States	Heterosexual	19	Caucasian;European American	round1	Slightly Conservative	Some college	NA	NA	NA	NA	NA
R_2P7lTu1gSnWTkRG		Yes	TRUE	400	3	3	TRUE	3	Male	Las Vegas, Nevada	Straight	19	White;Asian	round1	Slightly Liberal	Some college	NA	NA	NA	NA	NA
R_3GjO40XMZv1vF0L	Chinese	No	TRUE	243	4	5	TRUE	5	Female	Guangzhou,China;Los Angeles, California;Vancouver, BC	Straight	22	South Asian	round1	Neutral	Bachelor's Degree	NA	NA	NA	NA	NA
R_1qXrBtIs4KI4flG		Yes	TRUE	482	3	5	TRUE	3	Female	Los Angeles, California, United States;Orange, California, United States;Singapore, Singapore;Dubai, United Arab Emirates	Straight	21	southeast asian	round1	Slightly Liberal	Some college	NA	NA	NA	NA	NA
R_2v64ruOiemr90lT	Mandarin Chinese	Yes	TRUE	248	5	4	TRUE	5	Male	Shanghai, China;Atlanta, Georgia, United States	Straight	22	White-Amerindian;Han Chinese	round1	Slightly Conservative	Bachelor's Degree	NA	NA	NA	NA	NA
R_1FnUKd4NEItOkt0		Yes	TRUE	437	3	5	TRUE	2	Male	Los Angeles, California, United States	Heterosexual	18	Hispanic;Non-Hispanic Whites	round1	Slightly Liberal	HS or GED	NA	NA	NA	NA	NA
R_24bFZHxl47kkTTf	Spanish;Mandarin Chinese	Yes	TRUE	230	3	3	TRUE	3	Male	Seattle;Pittsburgh;Tucsonl;Los Angeles;Albuquerque, New Mexico, United States	Straight	19	White	round1	Slightly Liberal	Some college	NA	NA	NA	NA	NA
R_3nxwGOiFYBMedtC	Gujarati;Hindi;Spanish;Marathi	No	TRUE	332	3	2	TRUE	2	Male	Mumbai, India;Los Angeles, California, United States	Straight	20	Indian	round1	Slightly Liberal	HS or GED	NA	NA	NA	NA	NA
R_pPKybCtlJ4A8WxX		Yes	TRUE	570	1	7	FALSE	3	Male	Stockton, California	Straight	20	White	round1	Very Liberal	Some college	NA	NA	NA	NA	NA
R_3mmW9R7ovnDpoko	Mandarin Chinese	Yes	TRUE	390	5	3	TRUE	3	Female	Cupertino, California, United States	straight	18	Asian	round1	Slightly Conservative	Some college	Straight	Mandarin	female	Asian	Not Hispanic
R_e3a1rSYvy19lVrH	pashto;Farsi (Persian)	Yes	TRUE	601	4	6	TRUE	3	female	Los Banos, California, United States	Heterosexual	18	Afghanistani	round1	Neutral	Some college	NA	NA	NA	NA	NA
R_2E7fXNeQ2qtYFqz	Arabic (Lebanese);Arabic (Moroccan);French	Yes	TRUE	398	4	3	TRUE	3	Male	Jeddah, Saudi Arabia;Casablanca, Morocco;Los Angeles, California, United States	Heterosexual	20	Arab	round1	Neutral	Some college	NA	NA	NA	NA	NA
R_2Ev0qUaKMxfNHa4	Korean	Yes	TRUE	499	4	2	TRUE	3	Female	Minneapolis, Minnesota, United States;Northville, Michigan, United States;Olympia, Washington, United States;Cupertino, California, United States;Sioux Falls, South Dakota, United States;Watauga, Texas, United States	Heterosexual	19	Asian	round1	Neutral	Some college	Straight	Korean	female	Asian	Not Hispanic
R_XnpKsG163hjNYFX	Spanish	Yes	TRUE	320	2	5	TRUE	5	cis Female	Huntington Beach, California, United States;Los Angeles, California, United States	Heterosexual	20	Caucasian	round1	Moderately Liberal	Bachelor's Degree	NA	NA	NA	NA	NA
R_1QowIoH2xhz72Co	Tagalog	Yes	TRUE	457	3	5	TRUE	3	Female	Los Angeles, California, United States	Straight	22	Asian	round1	Slightly Liberal	Some college	Straight	Tagalog	female	Asian	Not Hispanic
R_R9d8GViqvXnLIm5		Yes	TRUE	520	6	5	TRUE	4	Female	Bakersfield, California, United States	Straight	20	Mexican American	round1	Moderately Conservative	Associate Degree	NA	NA	NA	NA	NA
R_3pmp0x5faQBdvg3	Thai	Yes	TRUE	681	2	2	TRUE	3	Female	Los Angeles, California, United States	Straight	28	Thai;White	round1	Moderately Liberal	Some college	NA	NA	NA	NA	NA
R_NY0ACeKbbQ64Krv	Hindi;Punjabi	Yes	TRUE	412	2	3	FALSE	5	Male	Los Angeles, California, United States;Chandigarh, Chandigarh, India;Ludhiana, Punjab, India;New Delhi, Delhi, India	Heterosexual	21	South Asian	round1	Moderately Liberal	Bachelor's Degree	NA	NA	NA	NA	NA
R_1cUstVhmQBwmhvn	Hindi	Yes	TRUE	536	3	5	TRUE	3	Male	Parker, Colorado, United States;Los Angeles, California, United States	Heterosexual	18	Indian	round1	Slightly Liberal	Some college	NA	NA	NA	NA	NA
R_bIcmhp2jL9cadLX	Spanish	Yes	TRUE	851	1	5	TRUE	2	Male	Granite Falls, North Carolina, United States;Sumner, Tennesse, United States	Gay	18	Latinx	round1	Very Liberal	HS or GED	NA	NA	NA	NA	NA
R_2rIrFKQLK6Z4MWb	Hindi	Yes	TRUE	572	2	5	TRUE	2	Female	New Delhi, Delhi, India;Dubai, United Arab Emirates;Los Angeles, California, United States	Straight	19	Indian	round1	Moderately Liberal	HS or GED	NA	NA	NA	NA	NA
R_2CpIEbsR8ZSXw5J	Spanish	Yes	TRUE	578	6	3	TRUE	4	Male	Arlington, Texas;Los Angeles, California	Heterosexual	19	Hispanic American	round1	Moderately Conservative	Associate Degree	NA	NA	NA	NA	NA
R_1jPNkb3tlHH7iSf	Hindi	Yes	TRUE	340	2	2	TRUE	5	Female	Pune, India;Los Angeles, California, United States	Heterosexual	21	Indian	round1	Moderately Liberal	Bachelor's Degree	Straight	Hindi	female	Asian	Not Hispanic
R_3GcA0OlbHAuNz7D		Yes	TRUE	455	2	4	TRUE	3	Female	West Los Angeles, California, United States	Straight	21	White	round1	Moderately Liberal	Some college	Straight	English	female	White	Not Hispanic
R_20MwIli66HYbUUy		Yes	TRUE	261	1	6	TRUE	3	Female	Honolulu, Hawaii, United States;Los Angeles, California, United States	Straight	20	English;German;Spanish;Vietnamese;Mexican American;Italian;Irish	round1	Very Liberal	Some college	NA	NA	NA	NA	NA
R_2V4qA9b0quR1Z8K	Spanish	Yes	TRUE	507	3	3	TRUE	4	Female	Hackensack, New Jersey;Los Angeles, California	Heterosexual	22	Hispanic;Native American	round1	Slightly Liberal	Associate Degree	NA	NA	NA	NA	NA
R_0feK56Tra0MXWCt		Yes	TRUE	672	3	2	TRUE	3	female	Los Angeles, California	straight	31	White	round1	Slightly Liberal	Some college	NA	NA	NA	NA	NA
R_3FP78iLonK8RXNK	Spanish;Mandarin Chinese	Yes	FALSE	378	2	4	TRUE	3	Female	Bronx, New York, United States;Newport, Rhode Island, United States;New Bedford, Massachusetts, United States;Los Angeles, California, United States	Heterosexual	21	Black;Hispanic	round1	Moderately Liberal	Some college	NA	NA	NA	NA	NA
R_cDaZBiRvRDA0SuB	Spanish, French	Yes	TRUE	854	4	3	TRUE	2	Male	Los Angeles, California, United States	Straight	19	Hispanic	round1	Neutral	HS or GED	Straight	Spanish	male	NR	Hispanic
R_1kIGBOJomSakZxC	Arabic (Modern Standard);Spanish	No	TRUE	421	2	7	FALSE	5	Male	Riyadh, Saudi Arabia;Los Angeles, California, United States;London, United Kingdom	Straight	24	Middle Eastern	round1	Moderately Liberal	Bachelor's Degree	NA	NA	NA	NA	NA
R_125RmZPKHO45WTm	Spanish;French	Yes	TRUE	753	1	7	TRUE	2	Female	Buenos Aires, Argentina;Los Angeles, California	Straight	19	Hispanic;White	round1	Very Liberal	HS or GED	NA	NA	NA	NA	NA
R_3iwNKgn6379hd52	Korean	Yes	TRUE	511	3	6	TRUE	2	Female	Honolulu, Hawaii, United States;Duluth, Georgia, United States;Los Angeles, California, United States;Seoul, South Korea	Straight	22	Korean	round1	Slightly Liberal	HS or GED	NA	NA	NA	NA	NA
R_2Ezti8fD7hCoEVC		Yes	TRUE	600	3	2	TRUE	2	Male	Redwood City, California, United States;San Francisco, California, United States;Palo Alto, California, United States	Heterosexual	18	Chinese;Korean	round1	Slightly Liberal	HS or GED	NA	NA	NA	NA	NA
R_290OvapLh9RXw0v	Mandarin Chinese;Spanish	Yes	TRUE	397	4	3	FALSE	3	Male	Orange County;Boston;Chicago;New Haven		19		round1	Neutral	Some college	NA	NA	NA	NA	NA
R_1nUzHBD596ONbfv	Hindi	Yes	TRUE	277	3	5	TRUE	5	Female	Mumbai, India;Los Angeles, California, United States;Madrid, Spain	Heterosexual	20	Indian	round1	Slightly Liberal	Bachelor's Degree	NA	NA	NA	NA	NA
R_1Lv7smkibKbhKBr	Korean	No	TRUE	246	3	3	FALSE	4	Male	Seoul, Korea;Los Angeles, California, United States	Homosexual	27	Korean	round1	Slightly Liberal	Associate Degree	NA	NA	NA	NA	NA
R_22UZTFkUGPWKbYC		Yes	TRUE	385	3	5	TRUE	3	Female	Los Angeles, California, United States;Maastricht, Maastricht, Limburg, Netherlands;Woodinville, Washington, United States	Straight	21	White	round1	Slightly Liberal	Some college	NA	NA	NA	NA	NA
R_1mrRvYck7qJPKfN		Yes	TRUE	486	2	3	TRUE	3	Female	Long Beach, California, United States	Straight	20	Half Hispanic Half White	round1	Moderately Liberal	Some college	NA	NA	NA	NA	NA
